"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Attempted Information Leak","2025-05-11 12:00","2,124"
"Attempted Information Leak","2025-05-12 00:00","2,355"
"Attempted Information Leak","2025-05-12 12:00","2,326"
"Attempted Information Leak","2025-05-13 00:00","3,200"
"Attempted Information Leak","2025-05-13 12:00","2,677"
"Attempted Information Leak","2025-05-14 00:00","4,194"
"Attempted Information Leak","2025-05-14 12:00","3,630"
"Attempted Information Leak","2025-05-15 00:00","3,698"
"Attempted Information Leak","2025-05-15 12:00","1,951"
"Attempted Information Leak","2025-05-16 00:00","3,285"
"Attempted Information Leak","2025-05-16 12:00","1,638"
"Attempted Information Leak","2025-05-17 00:00","2,271"
"Attempted Information Leak","2025-05-17 12:00","3,907"
"Attempted Information Leak","2025-05-18 00:00","3,590"
"Attempted Information Leak","2025-05-18 12:00","1,416"
"Attempted Information Leak","2025-05-19 00:00","1,769"
"Attempted Information Leak","2025-05-19 12:00","1,322"
"Attempted Information Leak","2025-05-20 00:00","2,176"
"Attempted Information Leak","2025-05-20 12:00","1,842"
"Attempted Information Leak","2025-05-21 00:00","2,611"
"Attempted Information Leak","2025-05-21 12:00","1,322"
