"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Misc Attack","2025-04-29 12:00","3,846"
"Misc Attack","2025-04-30 00:00","4,520"
"Misc Attack","2025-04-30 12:00","2,771"
"Misc Attack","2025-05-01 00:00","3,395"
"Misc Attack","2025-05-01 12:00","2,950"
"Misc Attack","2025-05-02 00:00","3,333"
"Misc Attack","2025-05-02 12:00","3,054"
"Misc Attack","2025-05-03 00:00","4,043"
"Misc Attack","2025-05-03 12:00","4,785"
"Misc Attack","2025-05-04 00:00","5,361"
"Misc Attack","2025-05-04 12:00","5,036"
"Misc Attack","2025-05-05 00:00","5,331"
"Misc Attack","2025-05-05 12:00","4,056"
"Misc Attack","2025-05-06 00:00","4,945"
"Misc Attack","2025-05-06 12:00","4,025"
"Misc Attack","2025-05-07 00:00","4,568"
"Misc Attack","2025-05-07 12:00","2,968"
"Misc Attack","2025-05-08 00:00","3,867"
"Misc Attack","2025-05-08 12:00","2,996"
"Misc Attack","2025-05-09 00:00","3,412"
"Misc Attack","2025-05-09 12:00","2,982"
"Misc Attack","2025-05-10 00:00","3,735"
"Misc Attack","2025-05-10 12:00","4,416"
"Misc Attack","2025-05-11 00:00","5,262"
"Misc Attack","2025-05-11 12:00","4,399"
"Misc Attack","2025-05-12 00:00","5,060"
"Misc Attack","2025-05-12 12:00","3,891"
"Misc Attack","2025-05-13 00:00","5,479"
"Misc Attack","2025-05-13 12:00","4,368"
"Misc Attack","2025-05-14 00:00","3,866"
"Misc Attack","2025-05-14 12:00","2,542"
"Misc Attack","2025-05-15 00:00","3,115"
"Misc Attack","2025-05-15 12:00","2,546"
"Misc Attack","2025-05-16 00:00","3,609"
"Misc Attack","2025-05-16 12:00","3,326"
"Misc Attack","2025-05-17 00:00","4,363"
"Misc Attack","2025-05-17 12:00","4,779"
"Misc Attack","2025-05-18 00:00","5,638"
"Misc Attack","2025-05-18 12:00","4,837"
"Misc Attack","2025-05-19 00:00","5,118"
"Misc Attack","2025-05-19 12:00","4,135"
"Misc Attack","2025-05-20 00:00","4,723"
"Misc Attack","2025-05-20 12:00","4,226"
"Misc Attack","2025-05-21 00:00","4,655"
"Misc Attack","2025-05-21 12:00","2,838"
"Attempted Information Leak","2025-04-23 00:00",722
"Attempted Information Leak","2025-04-23 12:00","2,130"
"Attempted Information Leak","2025-04-24 00:00","3,057"
"Attempted Information Leak","2025-04-24 12:00","3,027"
"Attempted Information Leak","2025-04-25 00:00","4,026"
"Attempted Information Leak","2025-04-25 12:00","2,837"
"Attempted Information Leak","2025-04-26 00:00","1,998"
"Attempted Information Leak","2025-04-26 12:00","1,928"
"Attempted Information Leak","2025-04-27 00:00","3,374"
"Attempted Information Leak","2025-04-27 12:00","2,201"
"Attempted Information Leak","2025-04-28 00:00","2,133"
"Attempted Information Leak","2025-04-28 12:00","3,384"
"Attempted Information Leak","2025-04-29 00:00","2,006"
"Attempted Information Leak","2025-04-29 12:00","4,522"
"Attempted Information Leak","2025-04-30 00:00","2,331"
"Attempted Information Leak","2025-04-30 12:00","1,901"
"Attempted Information Leak","2025-05-01 00:00","3,232"
"Attempted Information Leak","2025-05-01 12:00","2,992"
"Attempted Information Leak","2025-05-02 00:00","2,601"
"Attempted Information Leak","2025-05-02 12:00","2,117"
"Attempted Information Leak","2025-05-03 00:00","1,986"
"Attempted Information Leak","2025-05-03 12:00","2,416"
"Attempted Information Leak","2025-05-04 00:00","2,018"
"Attempted Information Leak","2025-05-04 12:00","3,120"
"Attempted Information Leak","2025-05-05 00:00","2,058"
"Attempted Information Leak","2025-05-05 12:00","2,826"
"Attempted Information Leak","2025-05-06 00:00","1,786"
"Attempted Information Leak","2025-05-06 12:00","1,488"
"Attempted Information Leak","2025-05-07 00:00","1,214"
"Attempted Information Leak","2025-05-07 12:00","1,377"
"Attempted Information Leak","2025-05-08 00:00","2,033"
"Attempted Information Leak","2025-05-08 12:00","1,717"
"Attempted Information Leak","2025-05-09 00:00","1,517"
"Attempted Information Leak","2025-05-09 12:00","1,490"
"Attempted Information Leak","2025-05-10 00:00","1,343"
"Attempted Information Leak","2025-05-10 12:00","1,429"
"Attempted Information Leak","2025-05-11 00:00","3,084"
"Attempted Information Leak","2025-05-11 12:00","2,514"
"Attempted Information Leak","2025-05-12 00:00","3,451"
"Attempted Information Leak","2025-05-12 12:00","2,397"
"Attempted Information Leak","2025-05-13 00:00","3,789"
"Attempted Information Leak","2025-05-13 12:00","2,982"
"Attempted Information Leak","2025-05-14 00:00","3,949"
"Attempted Information Leak","2025-05-14 12:00","4,063"
"Attempted Information Leak","2025-05-15 00:00","2,517"
"Attempted Information Leak","2025-05-15 12:00","1,939"
"Attempted Information Leak","2025-05-16 00:00","1,808"
"Attempted Information Leak","2025-05-16 12:00","1,802"
"Attempted Information Leak","2025-05-17 00:00","2,530"
"Attempted Information Leak","2025-05-17 12:00","4,495"
"Attempted Information Leak","2025-05-18 00:00","3,602"
"Attempted Information Leak","2025-05-18 12:00","2,082"
"Attempted Information Leak","2025-05-19 00:00","1,249"
"Attempted Information Leak","2025-05-19 12:00","1,185"
"Attempted Information Leak","2025-05-20 00:00","2,296"
"Attempted Information Leak","2025-05-20 12:00","2,381"
"Attempted Information Leak","2025-05-21 00:00","2,566"
"Attempted Information Leak","2025-05-21 12:00","2,241"
